Relative to: x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za1_c32r128.pk1
col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_c32r128.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_100_c32r128.pk1
col-3 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za2_1000_c32r128.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.za2_c32r128.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.za2_c32r128.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_c32r128.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_100_c32r128.pk1
col-8 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.za2_1000_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
1.01	1.02	1.02	1.02	1.02	1.02	1.01	1.02	hot-points_range=100
1.01	1.02	1.01	1.01	1.06	1.04	1.05	1.03	point-query_range=100
1.05	1.00	1.06	1.05	1.02	1.02	1.06	1.06	points-covered-pk_range=100
1.03	1.05	1.03	0.97	1.04	1.05	1.02	1.00	points-covered-si_range=100
1.02	1.01	1.01	0.97	1.01	1.00	0.98	1.02	points-notcovered-pk_range=100
0.98	0.98	0.98	0.98	1.00	0.98	0.99	0.96	points-notcovered-si_range=100
0.96	0.99	0.96	0.99	1.01	1.01	0.96	0.96	random-points_range=1000
1.02	0.97	1.00	1.01	1.01	1.00	0.98	1.01	random-points_range=100
1.01	1.00	1.02	0.99	1.00	1.02	1.02	1.02	random-points_range=10
1.01	1.01	1.03	1.03	1.03	1.02	1.03	1.04	range-covered-pk_range=100
1.01	1.03	1.04	1.02	1.04	1.04	1.04	1.04	range-covered-si_range=100
1.02	1.04	1.04	1.05	1.04	1.03	1.04	1.05	range-notcovered-pk_range=100
0.97	0.97	1.01	1.00	0.99	0.98	1.00	1.00	range-notcovered-si_range=100
1.04	1.06	1.06	1.07	1.04	1.05	1.08	1.06	read-only_range=10000
1.01	1.02	1.02	1.02	1.04	1.02	1.04	1.03	read-only_range=100
0.99	1.00	1.00	1.01	1.03	1.02	1.04	1.01	read-only_range=10
1.07	1.07	1.07	1.00	1.07	1.15	1.21	1.15	scan_range=100
1.00	1.00	1.00	0.99	1.00	1.00	1.00	1.01	delete_range=100
0.99	1.00	1.00	1.01	1.01	1.00	1.01	1.01	insert_range=100
1.01	1.01	1.01	1.02	1.03	1.03	1.03	1.02	read-write_range=100
1.00	1.00	1.01	1.01	1.03	1.03	1.03	1.02	read-write_range=10
1.00	1.01	1.01	1.00	1.01	1.01	1.01	1.01	update-index_range=100
1.00	1.00	1.00	0.99	0.99	1.01	1.01	1.00	update-inlist_range=100
1.00	1.01	1.01	1.01	1.00	1.01	1.01	1.01	update-nonindex_range=100
1.00	1.00	1.00	1.01	1.00	1.01	1.01	1.01	update-one_range=100
1.00	1.00	1.00	1.01	1.00	1.00	1.01	1.01	update-zipf_range=100
1.00	1.00	1.00	1.00	1.00	1.01	1.01	1.00	write-only_range=10000
