Relative to: 12.22
col-1 : 13.22
col-2 : 14.19
col-3 : 15.14
col-4 : 16.10
col-5 : 17.6
col-6 : 18.0 with the x10b config
col-7 : 18.0 with the x10c config
col-8 : 18.0 with the x10d config

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	point queries, first run
1.02	1.00	1.01	1.00	1.94	1.87	1.91	1.82	hot-points_range=100
1.01	1.02	1.02	1.00	1.02	0.99	1.00	0.98	point-query_range=100
1.02	1.02	1.01	1.03	1.01	1.01	1.00	1.00	points-covered-pk_range=100
1.01	1.04	1.03	1.05	1.03	1.02	1.03	1.03	points-covered-si_range=100
1.01	1.01	1.01	1.02	1.02	1.00	1.00	1.00	points-notcovered-pk_range=100
1.00	1.03	1.02	1.03	1.02	1.01	1.01	1.02	points-notcovered-si_range=100
1.01	1.02	1.02	1.03	1.00	1.00	1.00	0.99	random-points_range=1000
1.01	1.02	1.02	1.02	1.02	1.00	1.00	1.00	random-points_range=100
1.02	1.03	1.02	1.02	1.01	1.00	1.00	1.00	random-points_range=10

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	point queries, second run
1.00	0.98	0.99	1.00	1.94	1.90	1.93	1.92	hot-points_range=100
1.00	1.01	1.02	1.03	1.03	1.02	1.02	1.02	point-query_range=100
1.02	1.01	1.00	1.04	0.99	1.00	1.00	0.99	points-covered-pk_range=100
1.01	1.04	1.03	1.07	1.03	1.03	1.05	1.04	points-covered-si_range=100
1.01	1.02	1.03	1.04	1.01	1.00	0.99	1.01	points-notcovered-pk_range=100
1.02	1.05	1.05	1.05	1.03	1.03	1.03	1.04	points-notcovered-si_range=100
1.01	1.02	1.03	1.03	0.99	0.99	1.00	1.00	random-points_range=1000
1.02	1.02	1.03	1.04	1.01	1.01	1.00	1.01	random-points_range=100
1.02	1.02	1.02	1.03	1.02	1.01	1.01	1.02	random-points_range=10

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	range queries without aggregation, first run
1.00	1.02	1.02	1.01	1.00	0.97	0.98	0.95	range-covered-pk_range=100
1.00	1.02	1.02	1.01	1.00	0.97	0.97	0.94	range-covered-si_range=100
1.01	1.00	1.00	1.00	0.99	0.97	0.97	0.97	range-notcovered-pk_range=100
0.99	1.00	1.00	0.99	1.01	1.00	1.00	0.99	range-notcovered-si_range=100
0.98	1.24	1.11	1.13	1.16	1.12	1.14	1.11	scan_range=100

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	range queries without aggregation, second run
1.01	1.02	1.02	1.02	1.01	1.00	1.00	0.99	range-covered-pk_range=100
1.01	1.03	1.02	1.02	1.01	1.00	1.01	1.00	range-covered-si_range=100
1.00	0.99	1.00	1.00	0.99	0.97	0.98	0.98	range-notcovered-pk_range=100
1.00	1.00	1.00	0.98	1.01	1.00	1.01	1.01	range-notcovered-si_range=100
1.00	1.27	1.15	1.15	0.97	1.20	1.20	1.18	scan_range=100

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	range queries with aggregation, first run
1.02	1.00	1.00	1.01	0.97	0.96	0.97	0.97	read-only-count_range=1000
1.00	1.00	1.02	1.02	0.98	0.99	0.99	0.99	read-only-distinct_range=1000
1.01	1.00	1.03	1.03	1.00	1.01	1.01	1.01	read-only-order_range=1000
1.00	0.98	1.00	1.06	0.95	0.99	0.99	0.99	read-only_range=10000
1.00	1.00	1.00	1.00	1.00	0.98	0.98	0.98	read-only_range=100
1.00	1.01	1.01	1.00	1.01	0.98	0.99	0.98	read-only_range=10
1.01	1.00	1.02	1.01	1.00	0.99	0.98	0.98	read-only-simple_range=1000
1.00	1.00	1.01	1.00	0.99	0.98	0.98	0.98	read-only-sum_range=1000

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	range queries with aggregation, second run
1.03	1.02	1.02	1.03	0.97	0.97	0.97	0.98	read-only-count_range=1000
1.00	0.99	1.02	1.02	0.98	0.99	0.99	0.99	read-only-distinct_range=1000
1.00	0.99	1.02	1.04	1.02	1.01	1.01	1.02	read-only-order_range=1000
1.01	1.03	1.03	1.06	0.97	0.99	0.99	0.99	read-only_range=10000
0.99	1.00	1.00	1.01	1.00	0.99	0.99	0.99	read-only_range=100
0.99	1.00	1.00	1.00	1.01	0.99	1.00	0.99	read-only_range=10
1.00	0.99	1.01	1.00	0.99	0.98	0.98	0.99	read-only-simple_range=1000
1.00	1.00	1.01	1.01	0.99	0.98	0.98	0.98	read-only-sum_range=1000

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	writes, first run
1.00	1.08	1.08	1.05	1.25	1.24	1.23	1.20	delete_range=100
1.01	1.05	1.04	1.03	1.07	1.06	1.02	1.05	insert_range=100
1.00	1.06	1.07	1.07	1.10	1.09	1.08	1.07	read-write_range=100
1.00	1.07	1.08	1.07	1.13	1.13	1.11	1.11	read-write_range=10
0.99	1.04	1.04	0.90	1.43	1.43	1.41	1.43	update-index_range=100
1.00	1.09	1.08	1.08	1.11	1.15	1.06	1.12	update-inlist_range=100
1.00	1.05	1.05	1.04	1.35	1.34	1.34	1.35	update-nonindex_range=100
1.02	0.95	0.96	0.93	1.19	1.19	1.19	1.20	update-one_range=100
1.00	1.05	1.08	1.07	1.23	1.21	1.22	1.23	update-zipf_range=100
1.01	1.06	1.05	1.01	1.25	1.22	1.20	1.24	write-only_range=10000

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	writes, second run
1.00	1.06	1.07	1.07	1.26	1.23	1.23	1.24	delete_range=100
1.03	1.07	1.05	1.05	1.09	1.07	1.08	1.09	insert_range=100
1.01	1.07	1.08	1.07	1.11	1.10	1.10	1.09	read-write_range=100
0.99	1.04	1.06	1.07	1.13	1.11	1.11	1.12	read-write_range=10
0.99	1.02	1.04	0.87	1.44	1.40	1.41	1.40	update-index_range=100
1.00	1.11	1.12	1.09	1.17	1.14	1.16	1.22	update-inlist_range=100
1.01	1.04	1.06	1.03	1.36	1.33	1.35	1.34	update-nonindex_range=100
1.01	0.95	0.98	0.94	1.22	1.21	1.21	1.20	update-one_range=100
0.99	1.05	1.07	1.07	1.24	1.21	1.22	1.21	update-zipf_range=100
1.02	1.06	1.06	1.02	1.27	1.25	1.23	1.21	write-only_range=10000
